SalesOrderID,SalesOrderDetailID,OrderQty,ProductID,SpecialOfferID,UnitPrice,UnitPriceDiscount,ModifiedDate,OrderDate
43659,1,1,776,1,2024.994,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43659,2,3,777,1,2024.994,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43659,3,1,778,1,2024.994,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43659,4,1,771,1,2039.994,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43659,5,1,772,1,2039.994,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43659,6,2,773,1,2039.994,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43659,7,1,774,1,2039.994,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43660,13,1,762,1,419.4589,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43660,14,1,758,1,874.794,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43661,21,3,775,1,2024.994,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43661,22,2,778,1,2024.994,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43661,25,4,776,1,2024.994,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43661,26,2,773,1,2039.994,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43661,28,2,777,1,2024.994,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43662,30,3,764,1,419.4589,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43662,31,5,770,1,419.4589,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43662,33,4,754,1,874.794,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43662,35,5,762,1,419.4589,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43662,36,3,765,1,419.4589,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43662,37,2,768,1,419.4589,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43662,38,1,753,1,2146.962,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43662,39,1,756,1,874.794,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43662,40,3,763,1,419.4589,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43662,42,6,758,1,874.794,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43662,45,1,749,1,2146.962,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43662,46,3,760,1,419.4589,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43662,50,3,766,1,419.4589,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43662,51,1,755,1,874.794,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43663,52,1,760,1,419.4589,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43664,53,1,772,1,2039.994,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43664,54,4,775,1,2024.994,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43664,57,2,777,1,2024.994,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43664,58,3,771,1,2039.994,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43664,59,1,773,1,2039.994,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43664,60,1,778,1,2024.994,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43665,62,1,773,1,2039.994,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43665,65,2,777,1,2024.994,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43665,67,2,775,1,2024.994,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43665,68,1,778,1,2024.994,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43665,70,1,776,1,2024.994,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43666,71,1,764,1,419.4589,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43666,72,1,753,1,2146.962,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43666,74,1,756,1,874.794,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43666,75,2,768,1,419.4589,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43666,76,1,766,1,419.4589,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43667,78,1,773,1,2039.994,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43667,79,1,778,1,2024.994,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43667,80,1,775,1,2024.994,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43668,81,3,756,1,874.794,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43668,82,2,753,1,2146.962,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43668,83,7,760,1,419.4589,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43668,84,6,765,1,419.4589,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43668,89,2,754,1,874.794,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43668,92,3,755,1,874.794,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43668,93,3,761,1,419.4589,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43668,94,2,770,1,419.4589,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43668,96,2,764,1,419.4589,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43668,97,2,766,1,419.4589,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43668,100,2,768,1,419.4589,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43668,102,6,758,1,874.794,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43668,103,4,762,1,419.4589,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43668,109,3,763,1,419.4589,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43670,113,2,773,1,2039.994,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43670,114,1,776,1,2024.994,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43671,115,1,753,1,2146.962,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43671,117,1,756,1,874.794,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43671,118,2,768,1,419.4589,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43671,120,2,763,1,419.4589,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43671,121,2,755,1,874.794,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43671,122,2,764,1,419.4589,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43672,127,2,776,1,2024.994,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43672,128,1,774,1,2039.994,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43673,129,1,754,1,874.794,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43673,132,2,761,1,419.4589,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43673,133,1,762,1,419.4589,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43673,135,2,770,1,419.4589,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43674,140,3,758,1,874.794,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43675,141,4,761,1,419.4589,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43675,145,2,762,1,419.4589,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43675,146,2,758,1,874.794,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43675,148,1,754,1,874.794,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43676,150,2,776,1,2024.994,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43676,151,2,778,1,2024.994,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43676,153,3,775,1,2024.994,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43677,156,1,753,1,0.00,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43677,157,1,758,1,0.00,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43677,158,1,770,1,0.00,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43677,160,4,760,1,0.00,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43677,161,2,765,1,0.00,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43677,162,1,763,1,0.00,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43677,165,1,754,1,0.00,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
43678,167,1,760,1,-419.4589,0.00,2011-05-31 00:00:00.000,2011-05-31 00:00:00.000
